run_name,model,imgsz,epochs,batch,workers,ladder_recall,ladder_precision,person_recall,person_precision,ladder_avg_pred_conf,person_avg_pred_conf,ladder_area_mean,ladder_area_p50,ladder_area_p90,gold_val_images,best_ckpt_path
combined_y11s_960,yolo11s.pt,960,100,24,4,0.676339,0.624742,0.85114,0.798423,0.690443,0.777451,0.097633677,0.0586787984,0.2336543202,463,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\datasets\combined\5_weights\combined_y11s_960\best.pt
combined_y11m_960,yolo11m.pt,960,100,16,4,0.683036,0.594175,0.865546,0.79057,0.641592,0.740801,0.097633677,0.0586787984,0.2336543202,463,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\datasets\combined\5_weights\combined_y11m_960\best.pt
combined_y11s_1280,yolo11s.pt,1280,100,16,4,0.683036,0.613226,0.854742,0.797312,0.686714,0.777112,0.097633677,0.0586787984,0.2336543202,463,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\datasets\combined\5_weights\combined_y11s_1280\best.pt
