run_name,model,imgsz,epochs,batch,workers,ladder_recall,ladder_precision,person_recall,person_precision,ladder_avg_pred_conf,person_avg_pred_conf,ladder_area_mean,ladder_area_p50,ladder_area_p90,gold_val_images,best_ckpt_path
is_v2_y11s_960,yolo11s.pt,960,100,24,4,0.598383,0.596774,0.860645,0.779206,0.661234,0.724339,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\datasets\internet_scraped\5_weights\is_v2_y11s_960\best.pt
is_v2_y11m_960,yolo11m.pt,960,100,16,4,0.628032,0.546948,0.837419,0.801235,0.614233,0.729912,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\datasets\internet_scraped\5_weights\is_v2_y11m_960\best.pt
is_v2_y11s_1280,yolo11s.pt,1280,100,16,4,0.609164,0.560794,0.863226,0.784291,0.629534,0.722329,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\datasets\internet_scraped\5_weights\is_v2_y11s_1280\best.pt
